Index,Manufacturer,Name,Edge Type,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),NRC,alpha w,Fire Rating,STC,Rw,IIC
358,Siniat,watershield,,10,1350,3600,7.5,,,,,,
359,Siniat,watershield,,10,1350,4800,7.5,,,,,,
360,Siniat,watershield,,10,1350,6000,7.5,,,,,,
361,Siniat,watershield,,13,1200,2700,9.6,,,,,,
362,Siniat,watershield,,13,1200,3000,9.6,,,,,,
363,Siniat,watershield,,13,1200,3600,9.6,,,,,,
364,Siniat,watershield,,13,1350,3000,9.6,,,,,,
365,Siniat,soundshield,,10,1200,3600,8.4,,,,,,
366,Siniat,soundshield,,10,1200,6000,8.4,,,,,,
367,Siniat,soundshield,,10,1350,3600,8.4,,,,,,
368,Siniat,soundshield,,10,1350,6000,8.4,,,,,,
369,Siniat,soundshield,,13,1200,3000,12.3,,,,,,
370,Siniat,fireshield,,13,1200,2700,10.5,,,,,,
371,Siniat,fireshield,,13,1200,3000,10.5,,,,,,
372,Siniat,fireshield,,13,1200,3600,10.5,,,,,,
373,Siniat,fireshield,,13,1350,3000,10.5,,,,,,
374,Siniat,fireshield,,13,1350,3600,10.5,,,,,,
375,Siniat,fireshield,,16,1200,2400,13,,,,,,
376,Siniat,fireshield,,16,1200,2700,13,,,,,,
377,Siniat,fireshield,,16,1200,3000,13,,,,,,
378,Siniat,fireshield,,16,1200,3600,13,,,,,,
379,Siniat,fireshield,,16,1350,3000,13,,,,,,
380,Siniat,fireshield,,16,1350,3600,13,,,,,,
381,Siniat,curveshield,,6.5,1200,3600,4.6,,,,,,
382,Siniat,shaftliner,,25,600,3000,21.9,,,,,,
383,Siniat,shaftliner,,25,600,3600,21.9,,,,,,
384,Siniat,intershield,,25,600,3000,21.9,,,,,,
385,Siniat,intershield,,25,600,3600,21.9,,,,,,
386,Siniat,opal,,10,1200,6000,8.4,,,,,,
387,Siniat,opal,,10,1350,6000,8.4,,,,,,
388,Siniat,multishield,,13,1200,3000,10.7,,,,,,
389,Siniat,multishield,,13,1200,3600,10.7,,,,,,
390,Siniat,multishield,,16,1200,3000,13,,,,,,
391,Siniat,multishield,,16,1200,3600,13,,,,,,
392,Siniat,multishield,,16,1350,3000,13,,,,,,
393,Siniat,trurock,,13,1200,3000,12.3,,,,,,
394,Siniat,trurock,,13,1200,3600,12.3,,,,,,
395,Siniat,trurock,,13,1350,4200,12.3,,,,,,
396,Siniat,trurock,,16,1200,3000,14.8,,,,,,
397,Siniat,trurock hd,,13,1200,3000,12.3,,,,,,
398,Siniat,trurock hd,,13,1200,3600,12.3,,,,,,
